,LONGITUDE,LATITUDE,IP,ORG,ZDAT
0,55.7123,12.0564,195.231.237.112,Styrelsen for it og laering,0
1,37.4043,-122.0748,216.58.207.206,GOOGLE,1
2,37.751,-97.822,142.250.74.110,GOOGLE,2
3,37.751,-97.822,142.250.74.163,GOOGLE,3
4,37.751,-97.822,142.250.74.74,GOOGLE,4
5,37.751,-97.822,142.250.74.36,GOOGLE,5
6,55.7123,12.0564,195.231.240.211,Styrelsen for it og laering,6
7,37.751,-97.822,142.250.74.138,GOOGLE,7
8,51.5164,-0.093,93.184.220.29,EDGECAST,9
9,37.751,-97.822,172.217.21.170,GOOGLE,10
10,37.751,-97.822,99.83.219.81,AMAZON-02,12
11,37.751,-97.822,142.250.74.33,GOOGLE,13
12,37.751,-97.822,173.194.222.188,GOOGLE,14
13,37.4043,-122.0748,216.239.36.176,GOOGLE,15
14,37.4043,-122.0748,216.58.207.225,GOOGLE,16
15,37.751,-97.822,34.120.195.249,GOOGLE-CLOUD-PLATFORM,17
16,37.751,-97.822,142.250.74.131,GOOGLE,18
17,37.4043,-122.0748,216.58.207.227,GOOGLE,19
18,37.4043,-122.0748,216.58.211.10,GOOGLE,20
19,52.3759,4.8975,52.239.213.4,MICROSOFT-CORP-MSN-AS-BLOCK,21
20,39.0481,-77.4728,35.174.127.31,AMAZON-AES,22
21,37.4043,-122.0748,216.58.207.238,GOOGLE,23
22,37.751,-97.822,142.250.74.14,GOOGLE,24
23,37.751,-97.822,142.250.74.170,GOOGLE,25
24,59.3247,18.056,92.241.221.136,Cibicom A/S,26
25,55.6686,12.5842,199.232.42.109,FASTLY,27
26,37.751,-97.822,142.250.74.106,GOOGLE,28
27,37.751,-97.822,142.250.74.174,GOOGLE,29
28,37.751,-97.822,142.250.74.78,GOOGLE,30
29,37.751,-97.822,142.250.74.10,GOOGLE,31
30,37.751,-97.822,172.217.21.163,GOOGLE,32
31,53.3338,-6.2488,46.137.165.183,AMAZON-02,33
32,37.751,-97.822,142.250.74.67,GOOGLE,34
33,37.751,-97.822,142.250.74.100,GOOGLE,35
34,53.3338,-6.2488,20.190.159.22,MICROSOFT-CORP-MSN-AS-BLOCK,36
35,55.3127,10.7896,194.192.82.92,Tele Danmark,37
36,37.751,-97.822,143.204.237.63,AMAZON-02,38
37,37.751,-97.822,143.204.237.47,AMAZON-02,39
38,37.751,-97.822,142.250.74.142,GOOGLE,40
39,37.4043,-122.0748,216.58.207.202,GOOGLE,42
40,47.0,8.0,2.23.172.170,Akamai International B.V.,43
41,37.751,-97.822,34.120.202.204,GOOGLE-CLOUD-PLATFORM,44
42,37.4043,-122.0748,216.58.207.205,GOOGLE,45
43,37.751,-97.822,142.250.74.42,GOOGLE,46
